sample_id,text,source,author,day,month,year,location
wl_09443,Auch im vergangenen Herbst und Winter haben wieder 1647 Schülerinnen und Schüler aller weiterführender Schulen acht Wochen lang mit der Zeitung gearbeitet.,Wortschatz Leipzig,,,,2009,
wl_21191,"Das mÃ¼ssen wir Ã¤ndern und insbesondere vermehrt die WÃ¼nsche der Patientinnen und Patienten zu Wort kommen lassen"", so Prof. Vollmann.",Wortschatz Leipzig,,,,2009,
wl_16408,"Dabei bewiesen die BremerInnen gestern, daß es auch ohne Zweitonnen-Kehrer gehen kann - nämlich mit ihrer eigenen Muskelkraft.",Wortschatz Leipzig,,,,1997,
wl_23174,Den/die Gründungspräsidenten/-in wählt eine Findungskommission diesen Sommer aus.,Wortschatz Leipzig,,,,2005,
wl_26657,"Der zweite offiziell Kandidierende, Kurt Hofmann (SVP), erhielt 255 Stimmen.",Wortschatz Leipzig,,,,2016,
wl_42233,"Errechnet wurde einmal, wie viele Minuten gebraucht würden, um einen Patienten optimal zu pflegen, und zugleich der tatsächliche Pflegeaufwand für die PatientInnen.",Wortschatz Leipzig,,,,1997,
wl_45149,"Friedrichshafen / sz„In der Welt habt ihr nun Angst, aber seid getrost.“",Wortschatz Leipzig,,,,2011,
wl_06205,Am Donnerstag hatten wir netten Besuch in der Nordstadt-Redaktion. 16 Schülerinnen und Schüler meiner alten Schule waren da.,Wortschatz Leipzig,,,,2013,
wl_05275,"Als Jugendliche kann sie aber nicht mehr öffentlich surfen gehen, weil die Hamas den Bewohnerinnen und Bewohnern des Gazastreifens ihre bornierten Moralvorstellungen aufgezwungen hat.",Wortschatz Leipzig,,,,2017,
wl_31346,"Die Menschen die jetzt zu uns kommen sind überduchschnittlich gut augebildete Fachkräfte,die später dann unsere Rente erwirtschaften werden.",Wortschatz Leipzig,,,,2018,
wl_62801,Nun hat er sich mit einer Reihe von KollegInnen freiwillig für den Reinigungs- und Überzeugungstrupp gemeldet.,Wortschatz Leipzig,,,,1996,
wl_25287,"Der Oberkonsistorialrat nennt die Gründe: Weil nicht genug staatlich ausgebildete Lehrkräfte - sowohl für Religion als auch für das Alternativfach Ethik/Philosohpie - vorhanden seien, könne zunächst nur mit einer Jahrgangsstufe gestartet werden.",Wortschatz Leipzig,,,,1999,
wl_34905,"Die autonomen ""TierrechtlerInnen"" fordern ein totales Jagdverbot und eine Wildbestandsaufnahme in den deutschen Wäldern.",Wortschatz Leipzig,,,,1995,
wl_77497,"Weil RTL über eine Frequenz aus Niedersachsen in Bremen eingespielt wird, gelten diese Regelungen für den Publikumsliebling der PrivatguckerInnen nicht.",Wortschatz Leipzig,,,,1996,
wl_72388,"Um 2,4 Prozent seien die Gehälter der Fachkräfte und um 3,5 Prozent die der Führungskräfte in der Datenverarbeitung gestiegen, ergab eine in Gummersbach veröffentlichte Kienbaum-Studie.",Wortschatz Leipzig,,,,2002,
wl_72036,Trotz Eiseskälte müssen sich viele MieterInnen wegen defekter Heizungen und eingefrorener Wasserrohre über den Winter zittern.,Wortschatz Leipzig,,,,1997,
wl_78053,"Wenn Lehrkräfte eine höhere Aggressivität bei Kindern und Jugendlichen feststellen, gehört das womöglich zu den Spuren, die von der Pandemie hinterlassen wurden.",Wortschatz Leipzig,,,,2022,
wl_62727,Nostalgikerinnen und Nostalgiker können aber beruhigt sein: an der Aufmachung der Briefmarke ändert sich gemäss der Post nichts.,Wortschatz Leipzig,,,,2017,
wl_72537,"Um den laufenden Betrieb zu finanzieren, werden mehr als 700 000 Euro Spenden pro Jahr benötigt.In den letzten 7 Tagen schon 78 mal gelesen - zuletzt am 16.08.2006 um 16:22.",Wortschatz Leipzig,,,,2006,
wl_26533,"Der seit Wochen anhaltende harte Winter fordert seinen Tribut: Von den frierenden BerlinerInnen, besonders aber von der Sorte Mensch, die ohne gemütliche Zentralheizung oder bequeme Gasetagenheizung über die kalte Jahreszeit kommen muß.",Wortschatz Leipzig,,,,1997,
wl_09093,Auch die Liste der teilnehmenden Schauspielerinnen und Schauspieler war schon da bekannt.,Wortschatz Leipzig,,,,2021,
wl_30521,"Die Innenministerin hob hervor: „Ich bin überzeugt davon, dass die überwältigende Mehrheit der Mitarbeiterinnen und Mitarbeiter des öffentlichen Dienstes von unserer demokratischen Grundordnung überzeugt ist und danach handelt“, sagte die CDU-Politikerin.",Wortschatz Leipzig,,,,2021,
wl_75043,"Viele Agenturen, aber auch Unternehmen drücken sich um eine solide Grundausbildung, weil der Volontär für die Zeit als Arbeitskraft ausfällt und die Kurse nicht billig sind.",Wortschatz Leipzig,,,,2002,
wl_74702,Verantwortungsvolle Politik sollte sich von einer einzigen Frage leiten lassen: was ist gut für die Bürgerinnen und Bürger in diesem Land?,Wortschatz Leipzig,,,,2016,
wl_61118,"Nach den Wünschen der Bürgerinnen und Bürger soll das Areal durch großflächige, öffentlich nutzbare Grün- und Spielflächen und ein stimmiges Gesamtkonzept in Bezug auf Ökologie und Nachhaltigkeit ergänzt werden.",Wortschatz Leipzig,,,,2021,
wl_39401,"Ein 18-Jähriger mit einer Persönlichkeit, die auch als Mustervorlage für die Schülerinnen und Schüler der nachkommenden Jahrgänge dienen könnte.",Wortschatz Leipzig,,,,2019,
wl_21505,Das verkündete kollex Geschäftsführer Lothar Menge beim Branchenkongress Get-In am Dienstag in Frankfurt am Main.,Wortschatz Leipzig,,,,2020,
wl_02130,"""Und wenn die Stadt uns ein Gebäude kaufen würde, wären wir bereit, es über die Mieten abzuzahlen"", appelliert Günther Gerlach im Namen der KünstlerInnen an die öffentliche Adresse.",Wortschatz Leipzig,,,,1997,
wl_74494,"Unternehmen, die keine geeigneten Fachkräfte mehr finden, müßten künftig sogar nach China ausweichen.",Wortschatz Leipzig,,,,1995,
wl_42150,"Erfolgreiche Tattoo-KünstlerInnen haben ihren eingeschworenen KundInnenkreis, der auch auf den Conventions anreist und die im Studio gefertigten Stücke bei den Wettbewerben präsentiert.",Wortschatz Leipzig,,,,1997,
wl_08063,"Anschober: „Alle FachexpertInnen sagen uns, dass die Erkrankungsfälle in den nächsten Tagen weiter ansteigen werden.",Wortschatz Leipzig,,,,2020,
wl_38608,Dort werden pro Jahr insgesamt 1.300 Schülerinnen und Schüler in fünf- und zehnwöchigen Lehrgängen unterrichtet.,Wortschatz Leipzig,,,,2017,
wl_04869,"Alleine in den vergangenen zwei Jahren nahmen 350.000 SchülerInnen, 350 Schulen und mehr als 1500 Vereine an der spark7 SLAM Tour teil.",Wortschatz Leipzig,,,,2011,
wl_31467,Die Mitarbeiterinnen und Mitarbeiter des Kreises Stormarn werden über die neuen Bestimmungen informiert.,Wortschatz Leipzig,,,,2004,
wl_65905,"Rund 2000, vor allem an den Hochschulen arbeitende Psychologinnen und Psychologen werden teilnehmen, alleine 1300 referieren über den Stand ihrer Tätigkeit.",Wortschatz Leipzig,,,,1996,
wl_06553,"Am Samstagmorgen wollen Aktivist:innen und Bürger:innen eine Kundgebung am Tatort veranstalten, zudem sind Demonstrationen in São Paulo, Recife, Belo Horizonte und Porto Alegre geplant.",Wortschatz Leipzig,,,,2022,
wl_25557,Der Schweizer Wissenschaftspreis Marcel Benoist gilt unter Forscherinnen und Forschern als «Schweizer Nobelpreis» und ist mit 250'000 Franken dotiert.,Wortschatz Leipzig,,,,2021,
wl_15476,"Bundesminister Rudolf Anschober: „Grundsätzlich geht es um mehr Sicherheit und Transparenz für Konsumentinnen und Konsumenten beim Verzehr von Eiern und Produkten, die Eier als Zutat enthalten.",Wortschatz Leipzig,,,,2020,
wl_84512,"Über 200 Aktionärinnen und Aktionäre sowie zahlreiche Gäste fanden sich am Freitagabend bei prächtigstem Maiwetter auf Schloss Lenzburg zur Generalversammlung der AZ Medien AG ein, Herausgeberin unter anderem dieser Zeitung.",Wortschatz Leipzig,,,,2016,
wl_05417,"Als Vertreter:innen des Justizministeriums werden u.a. Barbara Göth-Flemmich, Sektionschefin für Einzelstrafsachen, und Christian Manquet, aktuell mit der Leitung der Sektion für Straflegistik betraut, vortragen.",Wortschatz Leipzig,,,,2021,
wl_27762,Die Akten zu den Fällen werden im Amtshaus an der Hodlerstrasse in Bern für die Laienrichter und Laienrichterinnen zur Einsicht aufgelegt.,Wortschatz Leipzig,,,,2014,
wl_04546,Alle Mitarbeiterinnen und Mitarbeiter sind nach dem Bundesdatenschutzgesetz (BDSG) zur Verschwiegenheit verpflichtet und die Sicherheitsvorkehrungen werden dem aktuellen Stand der Technik zeitnah angepasst.,Wortschatz Leipzig,,,,2009,
wl_46122,"Für die User*innen von queer.de hat der Konkursbuch Verlag freundlicherweise fünf Bücher ""Mein lesbisches Auge 20"" zur Verfügung gestellt.",Wortschatz Leipzig,,,,2021,
wl_17560,"Damit mehr Pflegekräfte für die freien Stellen zur Verfügung ständen, müsse jedoch eine Ausbildungsinitiative begonnen werden.",Wortschatz Leipzig,,,,2018,
wl_31592,"Die NATO Response Force (NRF) ist ein multinationaler, schnell verlegbarer Einsatzverband der NATO, der bis zu 40.000 Soldatinnen und Soldaten umfasst.",Wortschatz Leipzig,,,,2021,
