Abbrecherquote	Abbruchquote
Abenteurer (sg.)	Waghals; abenteuerliebende Person; abenteuerlustige Person; abenteuermutige Person; Abenteuermensch
Abgänger	absolvierende Person; Abschluss innehabende Person
Abgeordneter	abgeordnete Person für ...
Abiturient	Abitur ablegende Person; Person, die Abitur macht
Abkömmling	abstammende Person; nachkommende Person; Kind; Kindeskind; Person gleicher Abstammung
Ableser	Ablesedienst
Abnehmer (pl.)	Abnehmende
Abonnent	Bezugsperson; medienbeziehende Person; ein Abonnement beziehende Person
Abonnenten	Abonnement-Beziehende; Abonnierende; Followers; Follis
Absender (sg./pl.)	abgesandt durch ...; absendende Person; von ...
Absolventen (pl.)	 Abschluss innehabende Person; Person mit Abschluss
Absolventenpraktikum	Praktikum (direkt) nach Studienabschluss
Alumnivorsprechen 	Abschlussvorsprechen; Absolventenvorsprechen [Schauspielschule]
Abteilungsleiter (sg.)	Abteilungsleitung
Abteilungsleiter (pl.)	Abteilungsleitungen; Abteilungsleitende
Abteilungsleitertreffen	Treffen der Abteilungsleitungen; Treffen der Leitungsebene
Administrator	Administration; Admin
Administratoren	Administration; Admins; Administrierende
Adressat	adressierte Person; an ...
adressatengerecht	zielgruppengerecht
Adressatenkreis	Zielgruppe
Agent [Spion]	auskundschaftende Person; spionierende Person
Agent [Sport-/Kunst-/...-Agent]	jemanden/etwas vermittelnde Person
Agentenfilm	Spionagefilm
Agententhriller	Spionagethriller
Ahnen (pl.)	[dieser Begriff ist im Plural bereits genderneutral: sg. die Ahne (f.) oder der Ahne (m.) -> pl. die Ahnen (f.) und die Ahnen (m.)]
Akademiker (pl.)	Studierte; Personen mit Hochschulabschluss
Akteure (pl.)	Beteiligte; Agierende; Handelnde; Aktive
Akteursnetzwerk	Netzwerk von Engagierten; Netzwerk von Aktiven
Aktionär	Person mit Aktieneigentum
Aktionäre	Aktien-/Anteilshabende
Aktionärsversammlung	Versammlung von Personen mit Aktienbesitz; Versammlung von Anteilshabenden
Aktivist	engagierte Person; politisch aktiver Mensch
Aktivisten	engagierte Personen; politisch aktive Menschen; zielstrebig Handelnde
Alkoholiker (sg.)	alkoholsüchtige Person; Person mit Alkoholsucht
Alkoholiker (pl.)	Alkoholsüchtige; Menschen mit Alkoholsucht
Alleinerziehende (sg.)	Ein-Eltern-Haushalt; Ein-Eltern-Familie; alleinerziehende Person
Allergiker (pl.)	Menschen mit Allergie; Allergiegeplagte; allergieleidende Personen
Alleskönner	Multitalent; Universalgenie; vielseitig begabter Mensch
Allgemeinmediziner	Allgemeinmedizin praktizierende Person
Alltagshelden	Tag versüßende Personen; Ehrenamtliche; Zivilcourage leistende Personen
Alltagshelfer	Alltagshilfe
Alpinisten	bergsteigende Personen; bergbesteigende Personen; Bergsteigende; Bergkletternde
Älpler (pl.)	Alpwirtschaft Betreibende
Altenpfleger	Pflegefachkraft; Pflegefachperson; Altenpflegeperson; Krankenpflegeperson; Fachkraft für Altenpflege
Altersgenossen	gleich Alte; Menschen derselben Altersgruppe; Gleichaltrige;
Ältestenrat	Menschen; Rat der Erfahrenen; Beratungsgruppe der ältesten Menschen; Gremium der ältesten Menschen; Senioritätsrat]
Altkanzler (pl.)	ehemalige Regierungsoberhäupter
Amateur	Neuling; Person ohne Vorkenntnisse; unerfahrene Person
Amateure	Anfangende; Beginnende; Ungeübte
Ampelmännchen	Ampelfiguren; Ampelfigürchen; Ampelmenschlein
Amtsinhaber (sg.)	Amt innehabende Person; eine mit einem Amt betraute Person; amtierende Person im Bereich XY/ in Position XY; amtsverantwortliche Person für den Bereich XY
Analphabet	leseunfähige Person; leseunkundige Person; Person ohne Lesefähigkeit; des Lesens nicht mächtige Person; des Lesens unkundige Person; Person, die nicht lesen und schreiben kann
Analytiker (pl.)	Analysierende
Anbieter (sg.)	Angebot (von ...); Herstellung; angebotsstellende Person; angebotsmachende Person
Anbieter (pl.)	Angebot (von ...); Herstellung; Anbietende
(der) andere	Gegenüber
der ein oder andere	... die eine oder der andere
Anfänger (pl.)	Unerfahrene; Menschen ohne Vorkenntnisse; Menschen ohne Vorerfahrung; Beginnende; Neulinge
Anfängerkurs	Einstiegskurs; Grundkurs; Kurs für Menschen ohne Vorkenntnisse; Kurs für Menschen ohne Vorerfahrung
Anforderer	anfordernde Person/Abteilung
Anführer (sg.)	Führungsfigur; anführende Person; Führung; Leitung; leitende Person; Oberhaupt
Angehöriger (sg.)	Familienmitglied; Mitglied von ...
Angeklagter (sg.)	angeklagte Person
Angesprochener	angesprochene Person; kontaktierte Person; lyrisches Du [Kontext Lyrikanalyse]
Angler (sg.)	angelnde Person; Fisch fangende Person; Angelsport betreibende Person; Mensch mit Angel; wer gern angelt, ... ; Person, die angelt; Angelmensch
Angler (pl.)	Angelnde
Angreifer (sg.)	angreifende Person
Angreifer (pl.)	Angreifende
Anhänger (pl.)	Fans; Begeisterte; Gleichgesinnte; Unterstützende; Sympathisierende; sich (einer Bewegung, einem Verein) Zuordnende; Zugehörige (einer Bewegung); Mitwirkende; Befürwortende
Anhängerschaft	Gefolgschaft
Animateur	Freizeitbetreuungsperson
... Sprachanimateur	... zum Sprechen animierende/anregende Person
Animateure	Animierende
... Sprachanimateure	... Sprachanimierende
... Stimmungsanimateure	... Stimmungsunterhaltende
Ankläger	anklagende Person; Person, die Anklage erhebt; Person, die anklagt
Anleger (pl.)	Anlegende
Anleiter	anleitende Person; Anleitung
Anlieger (sg.)	anwohnende Person
Anlieger (pl.)	Anliegende; anwohnende Personen; Anwohnende
Anordner	Anordnung, anordnende Person
Anrainer	Person nebenan; Person, die nebenan wohnt; Person, der das Grundstück nebenan gehört
Anrufer (pl.)	Anrufende
Ansprechpartner (sg.)	Ansprechperson; (persönlicher) Kontakt; Kontaktperson; Auskunft gibt ... ; zuständig ist ... ; Hotline; Hilfeteam; Service; Servicepersonal
Antagonist	widerstreitende Person; Counterpart; Konkurrenz; gegenhandelnde Person
Anteilseigner (pl.)	Anteilsinhabende
Antisemit	antisemitisch eingestellte Person
Antragsgegner	dem Antrag entgegentretende Person; Gegenpart des Antrages
Antragsteller (sg.)	beantragende Person/Einrichtung; die Person, die einen Antrag stellt; die antragstellende Person; Antrag gestellt von ...
... Antragsteller werden in Kürze benachrichtigt.	... Sie werden kurz nach Antragstellung benachrichtigt.
